ID,Created,Name,Description,Playlist URL
19188e64ed3a413da9eeb1bb14b76739,2025-10-05T00:09:33Z,Show Off ,"Pick a song you've seen performed at a concert. You do not have to submit a live version - it can be any recorded version of a song you've gotten to hear in person. 
(PRACTICE ROUND)
",https://open.spotify.com/playlist/7joSPTDcUkn7QjrD4h92Mx
75cf5c3af0d5406e9282586bb5fef633,2025-10-05T00:10:36Z,It's Not a Phase!,"Song you liked as a teenager that you still listen to today. 

Theme provided by: Mara",https://open.spotify.com/playlist/2u2Rzobd7DxUNzbNqm71MZ
b8252c9a3cf94d16bea09a8b49d39841,2025-10-05T00:10:48Z,Weatherbug,"Songs with weather-related lyrics.

Theme provided by: Matt",https://open.spotify.com/playlist/3mURHcydHz9e5VnnDsMqE3
5e3fa6318c3648cd8b098f4cfb43f94b,2025-10-05T00:11:02Z,Surprise! ,"Songs you are surprised to like. Will the rest of us be surprised? 

Theme provided by: Bri on behalf of Ellen",https://open.spotify.com/playlist/7mILUJalUGKB9PDT8VifSt
6c4e073d7a7843829ccc40c4da6103f6,2025-10-05T00:11:14Z,Hometown Hero ,"Songs that mention a place you've lived. 

Theme provided by: Mara on behalf of Jerry",https://open.spotify.com/playlist/2PKlqfxJiVQAm6ZJY6ZN2y
68b3dad8d09947ba9b461ef4cb723e0e,2025-10-05T00:11:25Z,Get Pumped,"Songs that pump you up

Theme provided by: Bri",https://open.spotify.com/playlist/0utgSwpfZAIZ6qAyqjd65u
cbff0293ae7740d191984df3ccca85ba,2025-10-05T05:49:48Z,No Vault Shit,"Pick a song released in 2021 or later.

Theme provided by: Jordan ",https://open.spotify.com/playlist/52LkGPXGxF6hTj4Gpv4EGq
e775303cd72f462f9474f449b9224f9f,2025-10-06T19:50:03Z,Shower Power,"Best song to sing in the shower... Other than ""Shower, shower, shower, I'm taking a shower..."" 

Theme provided by: Emily",https://open.spotify.com/playlist/28azxhDUcyKVgfaC6gJqdO
b2af1d8e51e249a2b70ca7e63389ae56,2025-11-03T02:33:56Z,Feast For Your Ears,"Songs that reference food or drink 

Theme provided by Johanna ",https://open.spotify.com/playlist/5pIaNarH87EZlydZaY9F1o
1dca94faeb044555b8f88ddce045efa0,2025-11-05T19:52:56Z,Scorekeepers,"Original score from a movie (instrumentals only) 

Theme provided by: Ari",https://open.spotify.com/playlist/62WpqFfKM1DnfwctYldSQG
